node1	node2	combined_score
CDC37	BCL2L1	0.408
CDC37	CDKN2A	0.444
CDC37	BTC	0.499
CDC37	CASP8	0.536
CDC37	ABL1	0.617
CDC37	CDK2	0.622
CDC37	AR	0.661
CDC37	AKT2	0.944
CDC37	AKT3	0.963
CDC37	CDK6	0.964
CDC37	BRAF	0.991
CDC37	AKT1	0.995
CDC37	CDK4	0.999
CCND1	AREG	0.435
CCND1	CCNA1	0.469
CCND1	CD274	0.541
CCND1	ALK	0.549
CCND1	AKT3	0.557
CCND1	CCNA2	0.65
CCND1	CCNE2	0.667
CCND1	BECN1	0.679
CCND1	CDKN3	0.68
CCND1	CASP8	0.687
CCND1	ATM	0.692
CCND1	CD44	0.696
CCND1	CYP19A1	0.712
CCND1	AKT2	0.717
CCND1	ABL1	0.742
CCND1	BCL2L11	0.752
CCND1	ARID1A	0.752
CCND1	CCNB1	0.797
CCND1	ANXA5	0.808
CCND1	BCL2L1	0.808
CCND1	CCNE1	0.841
CCND1	CASP9	0.844
CCND1	CASP3	0.847
CCND1	CDH1	0.851
CCND1	BRCA2	0.861
CCND1	BRAF	0.864
CCND1	E2F2	0.871
CCND1	BRCA1	0.922
CCND1	AKT1	0.923
CCND1	E2F1	0.938
CCND1	CCND3	0.939
CCND1	CCND2	0.942
CCND1	AR	0.955
CCND1	BCL2	0.958
CCND1	CDC25A	0.97
CCND1	CTNNB1	0.972
CCND1	CDKN2B	0.974
CCND1	CDKN2C	0.989
CCND1	CDKN1C	0.994
CCND1	CDKN2A	0.998
CCND1	CDK2	0.999
CCND1	CDKN1B	0.999
CCND1	CDK4	0.999
CCND1	CDK6	0.999
CCND1	CDKN1A	0.999
CDKN1B	BRCA2	0.422
CDKN1B	AR	0.448
CDKN1B	BRAF	0.486
CDKN1B	ANXA5	0.504
CDKN1B	BRCA1	0.506
CDKN1B	CDH1	0.511
CDKN1B	CASP9	0.513
CDKN1B	CTNNB1	0.587
CDKN1B	CASP8	0.621
CDKN1B	BCL2	0.702
CDKN1B	E2F2	0.711
CDKN1B	ATM	0.713
CDKN1B	CASP3	0.721
CDKN1B	ABL1	0.746
CDKN1B	BCL2L11	0.748
CDKN1B	CDKN3	0.781
CDKN1B	E2F1	0.812
CDKN1B	CDC25A	0.817
CDKN1B	BCL2L1	0.836
CDKN1B	CDKN2B	0.859
CDKN1B	CDKN2A	0.93
CDKN1B	CDKN1C	0.946
CDKN1B	CDKN2C	0.956
CDKN1B	AKT2	0.956
CDKN1B	AKT3	0.96
CDKN1B	CCNB1	0.972
CDKN1B	CDKN1A	0.982
CDKN1B	AKT1	0.996
CDKN1B	CCNE2	0.998
CDKN1B	CDK4	0.999
CDKN1B	CDK6	0.999
CDKN1B	CCND3	0.999
CDKN1B	CCNE1	0.999
CDKN1B	CDK2	0.999
CDKN1B	CCNA1	0.999
CDKN1B	CCND2	0.999
CDKN1B	CCNA2	0.999
CCNA1	AR	0.407
CCNA1	BCL2L11	0.414
CCNA1	CDKN2B	0.509
CCNA1	CDKN2C	0.514
CCNA1	CDH1	0.525
CCNA1	CASP8	0.541
CCNA1	BRCA2	0.576
CCNA1	BCL2L1	0.583
CCNA1	ANXA5	0.6
CCNA1	CASP9	0.609
CCNA1	AKT1	0.671
CCNA1	CDKN2A	0.671
CCNA1	BCL2	0.689
CCNA1	CTNNB1	0.692
CCNA1	CASP3	0.694
CCNA1	CDKN3	0.733
CCNA1	BRCA1	0.779
CCNA1	ATM	0.81
CCNA1	CCNE2	0.821
CCNA1	CCNB1	0.847
CCNA1	CCNE1	0.907
CCNA1	CDC25A	0.913
CCNA1	E2F2	0.964
CCNA1	CCNA2	0.977
CCNA1	CDK4	0.988
CCNA1	CDKN1C	0.988
CCNA1	CDK6	0.993
CCNA1	CDKN1A	0.999
CCNA1	CDK2	0.999
CCNA1	E2F1	0.999
CCNB1	BRAF	0.405
CCNB1	BECN1	0.406
CCNB1	AR	0.418
CCNB1	CDKN2B	0.433
CCNB1	BCL2L11	0.459
CCNB1	CDKN2C	0.491
CCNB1	E2F2	0.515
CCNB1	CCND2	0.588
CCNB1	CASP8	0.604
CCNB1	CTNNB1	0.624
CCNB1	BRCA2	0.63
CCNB1	BCL2L1	0.631
CCNB1	ANXA5	0.675
CCNB1	CDH1	0.686
CCNB1	AKT1	0.702
CCNB1	CCNE1	0.746
CCNB1	CCNE2	0.755
CCNB1	BCL2	0.768
CCNB1	CDKN2A	0.772
CCNB1	ATM	0.775
CCNB1	CASP3	0.798
CCNB1	CASP9	0.803
CCNB1	CDKN1C	0.826
CCNB1	E2F1	0.834
CCNB1	BRCA1	0.916
CCNB1	CDK6	0.927
CCNB1	CDK4	0.94
CCNB1	CDKN3	0.941
CCNB1	CDKN1A	0.977
CCNB1	CDC25A	0.995
CCNB1	CCNA2	0.995
CCNB1	CDK2	0.999
CDK4	BRAF	0.422
CDK4	BECN1	0.495
CDK4	BCL2L11	0.507
CDK4	CD44	0.523
CDK4	AR	0.551
CDK4	ARNT	0.557
CDK4	CD274	0.591
CDK4	CASP8	0.602
CDK4	BCL2L1	0.656
CDK4	CASP9	0.661
CDK4	CYP19A1	0.663
CDK4	AKT1	0.691
CDK4	ANXA5	0.693
CDK4	CDH1	0.712
CDK4	ARID1A	0.713
CDK4	ABL1	0.729
CDK4	CASP3	0.75
CDK4	CTNNB1	0.795
CDK4	E2F2	0.805
CDK4	BCL2	0.815
CDK4	CDKN3	0.835
CDK4	ATM	0.937
CDK4	BRCA2	0.943
CDK4	E2F1	0.958
CDK4	BRCA1	0.972
CDK4	CDC25A	0.979
CDK4	CCNE2	0.988
CDK4	CDKN1C	0.994
CDK4	CDK2	0.998
CDK4	CDKN2A	0.999
CDK4	CCNA2	0.999
CDK4	CCND2	0.999
CDK4	CCND3	0.999
CDK4	CDKN1A	0.999
CDK4	CDKN2C	0.999
CDK4	CDK6	0.999
CDK4	CDKN2B	0.999
CDK4	CCNE1	0.999
CCND2	CYP19A1	0.416
CCND2	CDH1	0.437
CCND2	ANXA5	0.44
CCND2	BRCA1	0.456
CCND2	ATM	0.476
CCND2	AKT3	0.479
CCND2	CD44	0.512
CCND2	CASP3	0.529
CCND2	BCL2L1	0.545
CCND2	CTNNB1	0.56
CCND2	BRAF	0.6
CCND2	CCNE2	0.601
CCND2	CCNA2	0.61
CCND2	BCL2L11	0.618
CCND2	CCNE1	0.64
CCND2	AKT1	0.681
CCND2	ABL1	0.71
CCND2	E2F1	0.791
CCND2	E2F2	0.838
CCND2	BCL2	0.885
CCND2	CCND3	0.937
CCND2	CDC25A	0.955
CCND2	CDKN2B	0.962
CCND2	CDKN2C	0.963
CCND2	CDKN2A	0.99
CCND2	CDKN1C	0.994
CCND2	CDK2	0.995
CCND2	CDK6	0.999
CCND2	CDKN1A	0.999
CDH1	AKT3	0.409
CDH1	ABL1	0.433
CDH1	BECN1	0.447
CDH1	ARID1A	0.447
CDH1	CDKN2B	0.449
CDH1	ALK	0.449
CDH1	AKT2	0.461
CDH1	AREG	0.463
CDH1	BCL2L11	0.477
CDH1	ATM	0.478
CDH1	BRCA2	0.479
CDH1	CCNE1	0.489
CDH1	CCNA2	0.527
CDH1	CDKN1A	0.583
CDH1	BCL2L1	0.587
CDH1	CASP9	0.589
CDH1	BRAF	0.598
CDH1	CDK2	0.603
CDH1	AR	0.629
CDH1	E2F1	0.643
CDH1	CDK6	0.666
CDH1	ANXA5	0.668
